"astro-ph/0410281","Max Tegmark","Max Tegmark","What does inflation really predict?","Replaced to match accepted JCAP version. Improved discussion,
  references. 42 pages, 17 figs","JCAP 0504:001,2005","10.1088/1475-7516/2005/04/001",,"astro-ph gr-qc hep-th",,"  If the inflaton potential has multiple minima, as may be expected in, e.g.,
the string theory ""landscape"", inflation predicts a probability distribution
for the cosmological parameters describing spatial curvature (Omega_tot), dark
energy (rho_Lambda, w, etc.), the primordial density fluctuations (Omega_tot,
dark energy (rho_Lambda, w, etc.). We compute this multivariate probability
distribution for various classes of single-field slow-roll models, exploring
its dependence on the characteristic inflationary energy scales, the shape of
the potential V and and the choice of measure underlying the calculation. We
find that unless the characteristic scale Delta-phi on which V varies happens
to be near the Planck scale, the only aspect of V that matters observationally
is the statistical distribution of its peaks and troughs. For all energy scales
and plausible measures considered, we obtain the predictions Omega_tot ~
1+-0.00001, w=-1 and rho_Lambda in the observed ballpark but uncomfortably
high. The high energy limit predicts n_s ~ 0.96, dn_s/dlnk ~ -0.0006, r ~ 0.15
and n_t ~ -0.02, consistent with observational data and indistinguishable from
eternal phi^2-inflation. The low-energy limit predicts 5 parameters but prefers
larger Q and redder n_s than observed. We discuss the coolness problem, the
smoothness problem and the pothole paradox, which severely limit the viable
class of models and measures. Our findings bode well for detecting an
inflationary gravitational wave signature with future CMB polarization
experiments, with the arguably best-motivated single-field models favoring the
detectable level r ~ 0.03. (Abridged)
","[{""version"":""v1"",""created"":""Tue, 12 Oct 2004 19:41:44 GMT""},{""version"":""v2"",""created"":""Fri, 11 Mar 2005 21:00:28 GMT""}]","2009-10-07"
"cond-mat/0410311","Joachim Brand","Joachim Brand and Alexander Yu. Cherny","The Dynamic Structure Factor of the 1D Bose Gas near the Tonks-Girardeau
  Limit","4 pages, 2 figures misprints in formulas corrected","Phys. Rev. A 72, 033619 (2005)","10.1103/PhysRevA.72.033619",,"cond-mat.other",,"  While the 1D Bose gas appears to exhibit superfluid response under certain
conditions, it fails the Landau criterion according to the elementary
excitation spectrum calculated by Lieb. The apparent riddle is solved by
calculating the dynamic structure factor of the Lieb-Liniger 1D Bose gas. A
pseudopotential Hamiltonian in the fermionic representation is used to derive a
Hartree-Fock operator, which turns out to be well-behaved and local. The
Random-Phase approximation for the dynamic structure factor based on this
derivation is calculated analytically and is expected to be valid at least up
to first order in $1/\gamma$, where $\gamma$ is the dimensionless interaction
strength of the model. The dynamic structure factor in this approximation
clearly indicates a crossover behavior from the non-superfluid Tonks to the
superfluid weakly-interacting regime, which should be observable by Bragg
scattering in current experiments.
","[{""version"":""v1"",""created"":""Tue, 12 Oct 2004 23:20:26 GMT""},{""version"":""v2"",""created"":""Wed, 20 Oct 2004 14:59:13 GMT""}]","2007-05-23"
"cond-mat/0410312","Menderes Iskin","M. Iskin","Collective modes of single hyperfine state Fermi gases in optical
  lattices","Withdrawn by the authors",,,,"cond-mat.supr-con",,"  This paper has been withdrawn by the author since it contains errors.
","[{""version"":""v1"",""created"":""Wed, 13 Oct 2004 00:21:58 GMT""},{""version"":""v2"",""created"":""Thu, 3 Mar 2005 01:42:14 GMT""}]","2007-05-23"
"cond-mat/0410313","Petter Holme","Petter Holme","Network reachability of real-world contact sequences","(v2: fig. 1 fixed)","Phys. Rev. E 71, 046119 (2005)","10.1103/PhysRevE.71.046119",,"cond-mat.other",,"  We use real-world contact sequences, time-ordered lists of contacts from one
person to another, to study how fast information or disease can spread across
network of contacts. Specifically we measure the reachability time -- the
average shortest time for a series of contacts to spread information between a
reachable pair of vertices (a pair where a chain of contacts exists leading
from one person to the other) -- and the reachability ratio -- the fraction of
reachable vertex pairs. These measures are studied using conditional uniform
graph tests. We conclude, among other things, that the network reachability
depends much on a core where the path lengths are short and communication
frequent, that clustering of the contacts of an edge in time tend to decrease
the reachability, and that the order of the contacts really do make sense for
dynamical spreading processes.
","[{""version"":""v1"",""created"":""Wed, 13 Oct 2004 01:22:37 GMT""},{""version"":""v2"",""created"":""Fri, 12 Nov 2004 17:06:17 GMT""}]","2007-05-23"
"cond-mat/0410314","Philip Kim","Yuanbo Zhang, Joshua P. Small, William V. Pontius, and Philip Kim","Fabrication and Electric Field Dependent Transport Measurements of
  Mesoscopic Graphite Devices","3 pages, 3 figures included, submitted to Appl. Phys. Lett","Appl. Phys. Lett. 86, 073104 (2005)","10.1063/1.1862334",,"cond-mat.mes-hall",,"  We have developed a unique micromechanical method to extract extremely thin
graphite samples. Graphite crystallites with thicknesses ranging from 10 - 100
nm and lateral size $\sim$ 2 $\mu$m are extracted from bulk. Mesoscopic
graphite devices are fabricated from these samples for electric field dependent
conductance measurements. Strong conductance modulation as a function of gate
voltage is observed in the thinner crystallite devices. The temperature
dependent resistivity measurements show more boundary scattering contribution
in the thinner graphite samples.
","[{""version"":""v1"",""created"":""Wed, 13 Oct 2004 02:25:20 GMT""}]","2009-11-10"
"cond-mat/0410315","Philip Kim","Yuanbo Zhang, Joshua P. Small, Michael E. S. Amori, and Philip Kim","Electric Field Modulation of Galvanomagnetic Properties of Mesoscopic
  Graphite","4 pages, 4 figures included, submitted to Phys. Rev. Lett","Phys. Rev. Lett. 94, 176803 (2005)","10.1103/PhysRevLett.94.176803",,"cond-mat.mes-hall",,"  Electric field effect devices based on mesoscopic graphite are fabricated for
galvanomagnetic measurements. Strong modulation of magneto-resistance and Hall
resistance as a function of gate voltage is observed as sample thickness
approaches the screening length. Electric field dependent Landau level
formation is detected from Shubnikov de Haas oscillations in
magneto-resistance. The effective mass of electron and hole carriers has been
measured from the temperature dependant behavior of these oscillations.
","[{""version"":""v1"",""created"":""Wed, 13 Oct 2004 02:05:00 GMT""}]","2009-11-10"
"cond-mat/0410316","Moldoveanu Valeriu","V. Moldoveanu, M. \c{T}olea, A. Aldea, and B. Tanatar","Resonant and coherent transport through Aharonov-Bohm interferometers
  with coupled quantum dots","30 pages, 12 figures","Phys. Rev. B 71, 125338 (2005)","10.1103/PhysRevB.71.125338",,"cond-mat.mes-hall",,"  A detailed description of the tunneling processes within Aharonov-Bohm (AB)
rings containing two-dimensional quantum dots is presented. We show that the
electronic propagation through the interferometer is controlled by the spectral
properties of the embedded dots and by their coupling with the ring. The
transmittance of the interferometer is computed by the Landauer-B\""uttiker
formula. Numerical results are presented for an AB interferometer containing
two coupled dots. The charging diagrams for a double-dot interferometer and the
Aharonov Bohm oscillations are obtained, in agreement with the recent
experimental results of Holleitner {\it et al}. [Phys. Rev. Lett. {\bf 87},
256802 (2001)] We identify conditions in which the system shows Fano line
shapes. The direction of the asymetric tail depends on the capacitive coupling
and on the magnetic field. We discuss our results in connection with the
experiments of Kobayashi {\it et al} [Phys. Rev. Lett. {\bf 88}, 256806 (2002)]
in the case of a single dot.
","[{""version"":""v1"",""created"":""Wed, 13 Oct 2004 06:46:28 GMT""}]","2009-11-10"
"cond-mat/0410317","Kwang-Il Goh","K.-I. Goh, J. D. Noh, B. Kahng, and D. Kim","Load distribution in weighted complex networks","4 pages, 4 figures, final version published in PRE","Phys. Rev. E 72, 017102 (2005)","10.1103/PhysRevE.72.017102",,"cond-mat.stat-mech",,"  We study the load distribution in weighted networks by measuring the
effective number of optimal paths passing through a given vertex. The optimal
path, along which the total cost is minimum, crucially depend on the cost
distribution function $p_c(c)$. In the strong disorder limit, where $p_c(c)\sim
c^{-1}$, the load distribution follows a power law both in the
Erd\H{o}s-R\'enyi (ER) random graphs and in the scale-free (SF) networks, and
its characteristics are determined by the structure of the minimum spanning
tree. The distribution of loads at vertices with a given vertex degree also
follows the SF nature similar to the whole load distribution, implying that the
global transport property is not correlated to the local structural
information. Finally, we measure the effect of disorder by the correlation
coefficient between vertex degree and load, finding that it is larger for ER
networks than for SF networks.
","[{""version"":""v1"",""created"":""Wed, 13 Oct 2004 08:07:21 GMT""},{""version"":""v2"",""created"":""Wed, 11 Jan 2006 23:40:31 GMT""}]","2009-11-10"
"cond-mat/0410319","Benjamin Dollet","Benjamin Dollet, Florence Elias, Catherine Quilliet, Christophe
  Raufaste, Miguel Aubouy, Francois Graner","Two-dimensional flow of foam around an obstacle: force measurements","26 pages, 13 figures, resubmitted version to Phys. Rev. E",,"10.1103/PhysRevE.71.031403",,"cond-mat.soft",,"  A Stokes experiment for foams is proposed. It consists in a two-dimensional
flow of a foam, confined between a water subphase and a top plate, around a
fixed circular obstacle. We present systematic measurements of the drag exerted
by the flowing foam on the obstacle, \emph{versus} various separately
controlled parameters: flow rate, bubble volume, bulk viscosity, obstacle size,
shape and boundary conditions. We separate the drag into two contributions, an
elastic one (yield drag) at vanishing flow rate, and a fluid one (viscous
coefficient) increasing with flow rate. We quantify the influence of each
control parameter on the drag. The results exhibit in particular a power-law
dependence of the drag as a function of the bulk viscosity and the flow rate
with two different exponents. Moreover, we show that the drag decreases with
bubble size, and increases proportionally to the obstacle size. We quantify the
effect of shape through a dimensioned drag coefficient, and we show that the
effect of boundary conditions is small.
","[{""version"":""v1"",""created"":""Wed, 13 Oct 2004 09:16:07 GMT""},{""version"":""v2"",""created"":""Wed, 12 Jan 2005 15:42:36 GMT""}]","2009-11-10"
"cond-mat/0410320","Angel Sanchez","Luis Morales-Molina, Franz G. Mertens, Angel Sanchez","Ratchet behavior in nonlinear Klein-Gordon systems with point-like
  inhomogeneities",,,"10.1103/PhysRevE.72.016612",,"cond-mat.mes-hall cond-mat.stat-mech math-ph math.MP nlin.PS physics.class-ph",,"  We investigate the ratchet dynamics of nonlinear Klein-Gordon kinks in a
periodic, asymmetric lattice of point-like inhomogeneities. We explain the
underlying rectification mechanism within a collective coordinate framework,
which shows that such system behaves as a rocking ratchet for point particles.
Careful attention is given to the kink width dynamics and its role in the
transport. We also analyze the robustness of our kink rocking ratchet in the
presence of noise. We show that the noise activates unidirectional motion in a
parameter range where such motion is not observed in the noiseless case. This
is subsequently corroborated by the collective variable theory. An explanation
for this new phenomenom is given.
","[{""version"":""v1"",""created"":""Wed, 13 Oct 2004 09:23:33 GMT""}]","2016-08-31"
"cond-mat/0410321","John Schliemann","John Schliemann, Daniel Loss, R.M. Westervelt","Zitterbewegung of electronic wave packets in semiconductor
  nanostructures","5 pages, 2 figures included, a few remarks added, to appear in Phys.
  Rev. Lett","Phys. Rev. Lett. 94, 206801 (2005)","10.1103/PhysRevLett.94.206801",,"cond-mat.mes-hall quant-ph",,"  We study the zitterbewegung of electronic wave packets in III-V zinc-blende
semiconductor quantum wells due to spin-orbit coupling. Our results suggest a
direct experimental proof of this fundamental effect, confirming a
long-standing theoretical prediction. For electron motion in a harmonic quantum
wire, we numerically and analytically find a resonance condition maximizing the
zitterbewegung.
","[{""version"":""v1"",""created"":""Wed, 13 Oct 2004 09:33:23 GMT""},{""version"":""v2"",""created"":""Mon, 25 Apr 2005 09:32:22 GMT""}]","2007-05-23"
"cond-mat/0410322","Christian Flindt","Christian Flindt, Tomas Novotny, Antti-Pekka Jauho","Full counting statistics of nano-electromechanical systems","7 pages, 3 figures; minor changes - final version as published in
  Europhys. Lett","Europhys. Lett., 69 (3), pp. 475-481 (2005)","10.1209/epl/i2004-10351-x",,"cond-mat.mes-hall",,"  We develop a theory for the full counting statistics (FCS) for a class of
nanoelectromechanical systems (NEMS), describable by a Markovian generalized
master equation. The theory is applied to two specific examples of current
interest: vibrating C60 molecules and quantum shuttles. We report a numerical
evaluation of the first three cumulants for the C60-setup; for the quantum
shuttle we use the third cumulant to substantiate that the giant enhancement in
noise observed at the shuttling transition is due to a slow switching between
two competing conduction channels. Especially the last example illustrates the
power of the FCS.
","[{""version"":""v1"",""created"":""Wed, 13 Oct 2004 11:15:08 GMT""},{""version"":""v2"",""created"":""Wed, 26 Jan 2005 09:32:14 GMT""}]","2007-05-23"
"cond-mat/0410323","Veronica Ahufinger","V. Ahufinger and A. Sanpera","Lattice solitons in quasicondensates","4 pages, 2 figures","Phys. Rev. Lett. 94, 130403 (2005)","10.1103/PhysRevLett.94.130403",,"cond-mat.other",,"  We analyze finite temperature effects in the generation of bright solitons in
condensates in optical lattices. We show that even in the presence of strong
phase fluctuations solitonic structures with well defined phase profile can be
created. We propose a novel family of variational functions which describe well
the properties of these solitons and account for the non-linear effects in the
band structure. We discuss also the mobility and collisions of these localized
wave packets.
","[{""version"":""v1"",""created"":""Wed, 13 Oct 2004 13:42:02 GMT""},{""version"":""v2"",""created"":""Mon, 2 May 2005 09:11:52 GMT""}]","2009-11-10"
"cond-mat/0410324","Weidong Sheng","Weidong Sheng, Shun-Jen Cheng, and Pawel Hawrylak","Multiband theory of multi-exciton complexes in self-assembled quantum
  dots","10 pages, 8 figures",,"10.1103/PhysRevB.71.035316",,"cond-mat.mtrl-sci cond-mat.mes-hall",,"  We report on a multiband microscopic theory of many-exciton complexes in
self-assembled quantum dots. The single particle states are obtained by three
methods: single-band effective-mass approximation, the multiband $k\cdot p$
method, and the tight-binding method. The electronic structure calculations are
coupled with strain calculations via Bir-Pikus Hamiltonian. The many-body wave
functions of $N$ electrons and $N$ valence holes are expanded in the basis of
Slater determinants. The Coulomb matrix elements are evaluated using statically
screened interaction for the three different sets of single particle states and
the correlated $N$-exciton states are obtained by the configuration interaction
method. The theory is applied to the excitonic recombination spectrum in
InAs/GaAs self-assembled quantum dots. The results of the single-band
effective-mass approximation are successfully compared with those obtained by
using the of $k\cdot p$ and tight-binding methods.
","[{""version"":""v1"",""created"":""Wed, 13 Oct 2004 13:59:42 GMT""}]","2009-11-10"
"cond-mat/0410326","Alessandro Stroppa","A. Stroppa and M. Peressi","Structural properties and stability of defected ZnSe/GaAs(001)
  interfaces","19 pages, 5 figures, PDF only; in press on Comp.Mat.Sci","Computational Materials Science Volume 33, Issues 1-3, April 2005,
  Pages 256-262 Proceedings of the E-MRS 2004 Spring Meeting; Symposium H:
  Atomic Materials Design: Modelling and Characterization",,,"cond-mat.mtrl-sci",,"  Accurate ab-initio pseudopotential calculations within density functional
theory in the LDA approximation have been performed for structural properties
and stability of ZnSe/GaAs(001) defected heterostructures. There is a strong
experimental evidence that ZnSe/GaAs heterostructures with minimum stacking
fault density are related to the presence of a substantial concentration of Ga
vacancies at interface. In order to gain insights into the still unknown
microscopic maechanism governing their formation and stability, we compared the
relative stability of some simple selected interface configurations, chosen
taking into account charge neutrality prescription and allowing the presence of
Ga vacancy next to the interface. Remarkably, our results show that, under
particular thermodynamic conditions, some interfaces with vacancies are
favoured over undefected ones.
","[{""version"":""v1"",""created"":""Wed, 13 Oct 2004 14:23:42 GMT""}]","2011-12-30"
"cond-mat/0410328","Thomas Joerg","Thomas Jorg","Cluster Monte Carlo algorithms for diluted spin glasses","Proceedings of ""Statistical Physics of Disordered Systems and Its
  Applications"", Hayama (Japan), July 2004; 4 pages, 2 figures","Prog. Theor. Phys. Suppl. 157, 349 (2005)","10.1143/PTPS.157.349",,"cond-mat.dis-nn",,"  Recently a cluster Monte Carlo algorithm has been used very successfully in
the two-dimensional Edwards-Anderson (EA) model. We show that this algorithm
and a variant thereof can also be used successfully in models with a non-zero
spin glass transition temperature. The application of such algorithms to the
site-diluted EA model in three dimensions is discussed and the efficiency of
the two algorithms is compared among each other and to parallel tempering.
Finally, we give evidence for a spin glass transition in the three-dimensional
site-diluted EA model with Gaussian couplings at a site occupation of p = 62.5
%.
","[{""version"":""v1"",""created"":""Wed, 13 Oct 2004 14:27:10 GMT""}]","2015-06-24"
"cond-mat/0410329","Lakshmi Seetha L.","L.Seetha Lakshmi, K.Doerr, K. Nenkov, V.Sridharan, V.S.Sastry and
  K.-H.Mueller","Structure, Tranport and Magnetism of La(0.67)Ca(0.33)Mn(1-x)Ta(x)O(3)","Four pages inclusing three figures.(To appear in J.Magn.Magn.Mater.
  in 2005)",,"10.1016/j.jmmm.2004.11.291",,"cond-mat.mtrl-sci",,"  For the first time,we report the effect of pentavalent subtitution at the Mn
site of La(0.67)Ca(0.33)MnO(3). The ferromagnetic -metallic ground state
modifies to a cluster-glass insulator beyond x=0.03. The observed suppression
in the transition temperatures (39K/at.%) is the largest reported for the Mn
site subtituted manganites. We argue that charge state(valence) of the
substituent has a dominant role in affecting the ferromagnetic - metallic
ground state of CMR manganites.
","[{""version"":""v1"",""created"":""Wed, 13 Oct 2004 14:36:09 GMT""}]","2019-10-16"
"cond-mat/0410331","Lorenzo Ulivi","Francesco Grazzi, Massimo Moraldi and Lorenzo Ulivi","The S$_0$(0) structure in highly compressed hydrogen and the
  orientational transition","accepted Europhysics Letters",,"10.1209/epl/i2004-10256-8",,"cond-mat.stat-mech",,"  A calculation of the rotational S$_0$(0) frequencies in high pressure solid
para-hydrogen is performed. Convergence of the perturbative series at high
density is demonstrated by the calculation of second and third order terms. The
results of the theory are compared with the available experimental data to
derive the density behaviour of structural parameters. In particular, a strong
increase of the value of the lattice constant ratio $c/a$ and of the
internuclear distance is determined. Also a decrease of the anisotropic
intermolecular potential is observed which is attributed to charge transfer
effects. The structural parameters determined at the phase transition may be
used to calculate quantum properties of the rotationally ordered phase.
","[{""version"":""v1"",""created"":""Wed, 13 Oct 2004 15:01:27 GMT""}]","2009-11-10"
"cond-mat/0410332","Ellak Somfai","Ellak Somfai, Alexander N. Morozov, Wim van Saarloos
  (Instituut-Lorentz, Universiteit Leiden, Netherlands)","Modeling viscoelastic flow with discrete methods","8 pages, 4 figures, was presented on DSFD-2004","Physica A 362, 93-97 (2006)","10.1016/j.physa.2005.09.025",,"cond-mat.soft cond-mat.stat-mech",,"  The hydrodynamics of viscoelastic materials (for example polymer melts and
solutions) presents interesting and complex phenomena, for example
instabilities and turbulent flow at very low Reynolds numbers due to normal
stress effects and the existence of a finite stress relaxation time. This
present work is motivated by renewed interest in instabilities in polymer flow.
The majority of currently used numerical methods discretize a constitutive
equation on a grid with finite difference or similar methods. We present work
in progress in which we simulate viscoelastic flow with dissipative particle
dynamics. The advantage of this approach is that many of the numerical
instabilities of conventional methods can be avoided, and that the model gives
clear physical insight into the origins of many viscoelastic flow
instabilities.
","[{""version"":""v1"",""created"":""Wed, 13 Oct 2004 15:27:47 GMT""}]","2007-05-23"
"cond-mat/0410333","Florian Marquardt","Florian Marquardt","Fermionic Mach-Zehnder interferometer subject to a quantum bath","5 pages, 3 figures","Europhys. Lett. 72, 788 (2005)","10.1209/epl/i2005-10310-1",,"cond-mat.mes-hall",,"  We study fermions in a Mach-Zehnder interferometer, subject to a
quantum-mechanical environment leading to inelastic scattering, decoherence,
renormalization effects, and time-dependent conductance fluctuations. Both the
loss of interference contrast as well as the shot noise are calculated, using
equations of motion and leading order perturbation theory. The full dependence
of the shot-noise correction on setup parameters, voltage, temperature and the
bath spectrum is presented. We find an interesting contribution due to
correlations between the fluctuating renormalized phase shift and the output
current, discuss the limiting behaviours at low and high voltages, and compare
with simpler models of dephasing.
","[{""version"":""v1"",""created"":""Wed, 13 Oct 2004 15:14:53 GMT""}]","2007-05-23"
"cond-mat/0410334","Jorge Bravo-Abad","J. Bravo-Abad, F.J. Garcia-Vidal, L. Martin-Moreno","Resonant transmission of light through finite chains of subwavelength
  holes","Accepted for publication in Phys. Rev. Lett","Phys. Rev. Lett. 93, 227401 (2004)","10.1103/PhysRevLett.93.227401",,"cond-mat.mtrl-sci",,"  In this paper we show that the extraordinary optical transmission phenomenon
found before in 2D hole arrays is already present in a linear chain of
subwavelength holes, which can be considered as the basic geometrical unit
showing this property. In order to study this problem we have developed a new
theoretical framework, able to analyze the optical properties of finite
collections of subwavelength apertures and/or dimples (of any shape and placed
in arbitrary positions) drilled in a metallic film.
","[{""version"":""v1"",""created"":""Wed, 13 Oct 2004 15:48:03 GMT""}]","2009-11-10"
"cond-mat/0410335","Anthony Coolen","A. C. C. Coolen","Generating functional analysis of Minority Games with real market
  histories","39 pages, 5 postscript figures, iop style",,"10.1088/0305-4470/38/11/002",,"cond-mat.dis-nn q-fin.TR",,"  It is shown how the generating functional method of De Dominicis can be used
to solve the dynamics of the original version of the minority game (MG), in
which agents observe real as opposed to fake market histories. Here one again
finds exact closed equations for correlation and response functions, but now
these are defined in terms of two connected effective non-Markovian stochastic
processes: a single effective agent equation similar to that of the `fake'
history models, and a second effective equation for the overall market bid
itself (the latter is absent in `fake' history models). The result is an exact
theory, from which one can calculate from first principles both the persistent
observables in the MG and the distribution of history frequencies.
","[{""version"":""v1"",""created"":""Wed, 13 Oct 2004 15:57:50 GMT""}]","2009-11-10"
"cs/0410027","Paul M. Aoki","Chen Yu, Paul M. Aoki, Allison Woodruff","Detecting User Engagement in Everyday Conversations","4 pages (A4), 1 figure (EPS)","Proc. 8th Int'l Conf. on Spoken Language Processing (ICSLP) (Vol.
  2), Jeju Island, Republic of Korea, Oct. 2004, 1329-1332. ISCA.",,,"cs.SD cs.CL cs.HC",,"  This paper presents a novel application of speech emotion recognition:
estimation of the level of conversational engagement between users of a voice
communication system. We begin by using machine learning techniques, such as
the support vector machine (SVM), to classify users' emotions as expressed in
individual utterances. However, this alone fails to model the temporal and
interactive aspects of conversational engagement. We therefore propose the use
of a multilevel structure based on coupled hidden Markov models (HMM) to
estimate engagement levels in continuous natural speech. The first level is
comprised of SVM-based classifiers that recognize emotional states, which could
be (e.g.) discrete emotion types or arousal/valence levels. A high-level HMM
then uses these emotional states as input, estimating users' engagement in
conversation by decoding the internal states of the HMM. We report experimental
results obtained by applying our algorithms to the LDC Emotional Prosody and
CallFriend speech corpora.
","[{""version"":""v1"",""created"":""Wed, 13 Oct 2004 02:28:10 GMT""}]","2007-05-23"
"cs/0410028","Andrea Montanari","Cyril Measson, Andrea Montanari, Tom Richardson, Rudiger Urbanke","Life Above Threshold: From List Decoding to Area Theorem and MSE","2004 IEEE Information Theory Workshop, San Antonio, October 24-29
  (invited paper)",,,,"cs.IT cond-mat.dis-nn math.IT",,"  We consider communication over memoryless channels using low-density
parity-check code ensembles above the iterative (belief propagation) threshold.
What is the computational complexity of decoding (i.e., of reconstructing all
the typical input codewords for a given channel output) in this regime? We
define an algorithm accomplishing this task and analyze its typical
performance. The behavior of the new algorithm can be expressed in purely
information-theoretical terms. Its analysis provides an alternative proof of
the area theorem for the binary erasure channel. Finally, we explain how the
area theorem is generalized to arbitrary memoryless channels. We note that the
recently discovered relation between mutual information and minimal square
error is an instance of the area theorem in the setting of Gaussian channels.
","[{""version"":""v1"",""created"":""Wed, 13 Oct 2004 10:47:56 GMT""},{""version"":""v2"",""created"":""Sun, 14 Nov 2004 13:55:49 GMT""}]","2007-07-13"
"gr-qc/0410053","Robert Mann","Amjad Ashoorioon and Robert B. Mann","Generation of Cosmological Seed Magnetic Fields from Inflation with
  Cutoff","Latex, 16 pages, 2 figures, 4 references added, minor corrections;
  v4: more references added, boundary term written in a covariant form,
  discussion regarding other gauge fields added, submitted to PRD; v5: matched
  with the published version","Phys.Rev. D71 (2005) 103509","10.1103/PhysRevD.71.103509",,"gr-qc astro-ph hep-th",,"  Inflation has the potential to seed the galactic magnetic fields observed
today. However, there is an obstacle to the amplification of the quantum
fluctuations of the electromagnetic field during inflation: namely the
conformal invariance of electromagnetic theory on a conformally flat underlying
geometry. As the existence of a preferred minimal length breaks the conformal
invariance of the background geometry, it is plausible that this effect could
generate some electromagnetic field amplification. We show that this scenario
is equivalent to endowing the photon with a large negative mass during
inflation. This effective mass is negligibly small in a radiation and matter
dominated universe. Depending on the value of the free parameter of the theory,
we show that the seed required by the dynamo mechanism can be generated. We
also show that this mechanism can produce the requisite galactic magnetic field
without resorting to a dynamo mechanism.
","[{""version"":""v1"",""created"":""Tue, 12 Oct 2004 20:11:22 GMT""},{""version"":""v2"",""created"":""Tue, 19 Oct 2004 19:21:05 GMT""},{""version"":""v3"",""created"":""Wed, 17 Nov 2004 18:04:44 GMT""},{""version"":""v4"",""created"":""Fri, 15 Apr 2005 18:50:38 GMT""},{""version"":""v5"",""created"":""Mon, 16 May 2005 18:01:13 GMT""}]","2007-05-23"
"gr-qc/0410055","Frederic Henry-Couannier","Frederic Henry-Couannier (CPPM)","Discrete symmetries and general relativity, the dark side of gravity",,"Int.J.Mod.Phys.A20:2341-2346,2005","10.1142/S0217751X05024602",,"gr-qc",,"  None of the previous versions of this article is the one published in Int
Journ Mod Phys A which can be found on the journal server. A more recent and
living review of the DArk Gravity Theory can be found in gr-qc/0610079 .
","[{""version"":""v1"",""created"":""Wed, 13 Oct 2004 11:50:02 GMT""},{""version"":""v2"",""created"":""Wed, 1 Dec 2004 10:06:25 GMT""},{""version"":""v3"",""created"":""Thu, 31 Mar 2005 12:54:24 GMT""},{""version"":""v4"",""created"":""Fri, 15 Jul 2005 07:56:08 GMT""},{""version"":""v5"",""created"":""Tue, 19 Jul 2005 07:21:25 GMT""},{""version"":""v6"",""created"":""Fri, 22 Jul 2005 13:54:54 GMT""},{""version"":""v7"",""created"":""Tue, 9 Aug 2005 13:13:31 GMT""},{""version"":""v8"",""created"":""Mon, 15 Aug 2005 15:44:50 GMT""},{""version"":""v9"",""created"":""Tue, 23 Oct 2007 22:14:22 GMT""}]","2008-11-26"
"gr-qc/0410056","Bijan Saha","Bijan Saha and V. Rikhvitsky","Bianchi type I universe with viscous fluid: A qualitative analysis","RevTex, 16 pages, 32 figures","Physica D219 (2006) 168-176","10.1016/j.physd.2006.06.003",,"gr-qc",,"  The nature of cosmological solutions for a homogeneous, anisotropic Universe
given by a Bianchi type-I (BI) model in the presence of a Cosmological constant
$\Lambda$ is investigated by taking into account dissipative process due to
viscosity. The system in question is thoroughly studied both analytically and
numerically. It is shown the viscosity, as well as the $\Lambda$ term exhibit
essential influence on the character of the solutions. In particular a negative
$\Lambda$ gives rise to an ever-expanding Universe, whereas, a suitable choice
of initial conditions plus a positive $\Lambda$ can result in a
singularity-free oscillatory mode of expansion. For some special cases it is
possible to obtain oscillations in the exponential mode of expansion of the BI
model even with a negative $\Lambda$, where oscillations arise by virtue of
viscosity.
","[{""version"":""v1"",""created"":""Wed, 13 Oct 2004 14:37:46 GMT""}]","2015-05-01"
"gr-qc/0410057","Michele Maggiore","Florian Dubath, Stefano Foffa, Maria Alice Gasparini, Michele Maggiore
  and Riccardo Sturani","Experimental signatures of gravitational wave bursters","4pages, 2 figs","Phys.Rev. D71 (2005) 124003","10.1103/PhysRevD.71.124003",,"gr-qc astro-ph",,"  Gravitational wave bursters are sources which emit repeatedly bursts of
gravitational waves, and have been recently suggested as potentially
interesting candidates for gravitational wave (GW) detectors. Mechanisms that
could give rise to a GW burster can be found for instance in highly magnetized
neutron stars (the magnetars which explain the phenomenon of soft gamma
repeaters), in accreting neutron stars and in hybrid stars with a quark core.
We point out that these sources have very distinctive experimental signatures.
In particular, as already observed in the gamma-ray bursts from soft gamma
repeaters, the energy spectrum of the events is a power-law, dN\sim
E^{-\gamma}dE with \gamma\simeq 1.6, and they have a distribution of waiting
times (the times between one outburst and the next) significantly different
from the distribution of uncorrelated events. We discuss possible detection
strategies that could be used to search for these events in existing
gravitational wave detectors.
","[{""version"":""v1"",""created"":""Wed, 13 Oct 2004 15:05:41 GMT""}]","2009-11-10"
"hep-ex/0410034","Collaboration Secretariat Opal","The OPAL Collaboration, G. Abbiendi, et al","Measurement of Rb in e+e- Collisions at 182 - 209 GeV","21 pages, 5 figures, Submitted to Phys. Letts B","Phys.Lett.B609:212-225,2005","10.1016/j.physletb.2005.01.031","CERN-PH-EP/2004-0051","hep-ex",,"  Measurements of Rb, the ratio of the bbbar cross-section to the qqbar cross-
section in e+e- collisions, are presented. The data were collected by the OPAL
experiment at LEP at centre-of-mass energies between 182 GeV and 209 GeV.
Lepton, lifetime and event shape information is used to tag events containing b
quarks with high efficiency. The data are compatible with the Standard Model
expectation. The mean ratio of the eight measurements reported here to the
Standard Model prediction is 1.055+-0.031+-0.037, where the first error is
statistical and the second systematic.
","[{""version"":""v1"",""created"":""Wed, 13 Oct 2004 09:43:00 GMT""}]","2008-11-26"
