"astro-ph/0412525","Guenter Sigl","Eric Armengaud, Guenter Sigl (GReCO, and APC, Paris), Francesco
  Miniati (ETH Zuerich)","Ultrahigh Energy Nuclei Propagation in a Structured, Magnetized Universe","17 pages, 35 ps figures included","Phys.Rev. D72 (2005) 043009","10.1103/PhysRevD.72.043009",,"astro-ph hep-ph",,"  We compare the propagation of iron and proton nuclei above 10^19 eV in a
structured Universe with source and magnetic field distributions obtained from
a large scale structure simulation and source densities about 10^(-5) Mpc^(-3).
All relevant cosmic ray interactions are taken into account, including
photo-disintegration and propagation of secondary products. Iron injection
predicts spectral shapes different from proton injection which disagree with
existing data below about 30 EeV. Injection of light nuclei or protons must
therefore contribute at these energies. However, at higher energies, existing
data are consistent with injection of pure iron with spectral indices between 2
and 2.4. This allows a significant recovery of the spectrum above roughly 100
EeV, especially in the case of large deflections. Significant auto-correlation
and anisotropy, and considerable cosmic variance are also predicted in this
energy range. The mean atomic mass A fluctuates considerably between different
scenarios. At energies below 60 EeV, if the observed A > 35, magnetic fields
must have a negligible effect on propagation. At the highest energies the
observed flux will be dominated by only a few sources whose location may be
determined by next generation experiments to within 10-20 degrees even if
extra-galactic magnetic fields are important.
","[{""version"":""v1"",""created"":""Mon, 20 Dec 2004 16:02:28 GMT""}]","2009-11-10"
"hep-ph/0412313","Kwei-Chou Yang","Prasanta Kumar Das, Kwei-Chou Yang","Data for Polarization in Charmless B -> phi K^*: A Signal for New
  Physics?","24 pages, 1 figure, 6 tables; some numerical results corrected; to
  appear in Phys. Rev. D","Phys.Rev. D71 (2005) 094002","10.1103/PhysRevD.71.094002",,"hep-ph hep-ex",,"  The recent observations of sizable transverse fractions of B-> phi K* are
strongly contrary to the Standard Model expectation. We analyze all possible
new-physics four-quark operators. We find that two classes of new-physics
operators could offer resolutions to the B-> phi K* polarization anomaly. The
(1-\gamma_5)\otimes (1-\gamma_5) and \sigma(1-\gamma_5)\otimes
\sigma(1-\gamma_5) operators in the first class contribute to different
helicity amplitudes as H{00}: H{--}: H{++} ~ O(1/mb):O(1):O(1/mb^2), while the
contributions arising from (1+\gamma_5)\otimes (1+\gamma_5) and
\sigma(1+\gamma_5)\otimes \sigma(1+\gamma_5) operators in the second class to
various helicity amplitudes are given as H{00}: H{--}: H{++} ~
O(1/mb):O(1/mb^2):O(1). For each class of new physics, we find that all new
physics effects can be lumped into a single parameter. Two possible
experimental results of polarization phases, \arg(A_\perp)- \arg(A_\parallel) ~
\pi or 0, originating from the phase ambiguity in data, could be separately
accounted for by our two new-physics scenarios: (i) the first scenario with the
first class new-physics operators, and (ii) the second scenario with the second
class new-physics operators. The consistency between the data and the new
physics analysis, suggests a small new-physics weak phase, together with a
large strong phase. We obtain sizable transversely polarized amplitudes
\Lambda_{\parallel\parallel} + \Lambda_{\perp\perp} = \Lambda_{00}. In the
second scenario, we find \Lambda_{\parallel\parallel} ~ \Lambda_{\perp\perp},
while, in the first scenario, we obtain \Lambda_{\parallel\parallel} ~
\Lambda_{\perp\perp}/2. We discuss the impact of the new-physics weak phase on
observations.
","[{""version"":""v1"",""created"":""Tue, 21 Dec 2004 15:45:52 GMT""},{""version"":""v2"",""created"":""Wed, 5 Jan 2005 17:16:17 GMT""},{""version"":""v3"",""created"":""Thu, 6 Jan 2005 11:52:52 GMT""},{""version"":""v4"",""created"":""Mon, 25 Apr 2005 17:02:18 GMT""},{""version"":""v5"",""created"":""Sun, 1 May 2005 13:48:45 GMT""}]","2009-11-10"
"hep-ph/0412314","Houri Ziaeepour","Houri Ziaeepour","QCD Color Glass Condensate Model in Warped Brane Models","12 pages, 5 figures; Proceedings of Cosmion 2004 Conference, Sep.
  2004, Moscow, Russia. v2: published version","Grav.Cosmol.11:189-200,2005",,,"hep-ph",,"  Hadron-hadron interaction and Deep Inelastic Scattering (DIS) at very high
energies is dominated by events at small-$x_B$ regime. Interesting and complex
physical content of this regime is described by a phenomenological model called
McLerran-Venugopalan Color Glass Condensate (MVCGC) model. The advantage of
this formalism is the existence of a renormalization-type equation which
relates directly observable low energy (small-$x_B$) physics to high energy
scales where one expects the appearance of phenomena beyond Standard model.
After a brief argument about complexity of observations and their
interpretation, we extend CGC to warped space-times with brane boundaries and
show that in a hadron-hadron collision or DIS all the events - and not just
hard processes - have an extended particle distribution in the bulk. In other
word, particles living on the visible brane escape to the bulk. For an observer
on the brane the phenomenon should appear as time decoherence in the outgoing
particles or missing energy, depending on the time particles propagate in the
bulk before coming back to the brane. Assuming that primaries of UHECRs are
nucleons, the interaction of Ultra High Energy Cosmic Rays (UHECRs) in the
terrestrial atmosphere is the most energetic hadron-hadron interaction
available for observation. Using the prediction of CGC for gluon distribution
as well as classical propagation of relativistic particles in the bulk, we
constrain the parameter space of warped brane models.
","[{""version"":""v1"",""created"":""Tue, 21 Dec 2004 15:46:04 GMT""},{""version"":""v2"",""created"":""Thu, 16 Mar 2006 17:43:27 GMT""}]","2011-01-25"
"hep-ph/0412315","Junjie Cao","Junjie Cao, Jin Min Yang","Lightest Higgs Boson Mass in Split Supersymmetry with See-saw Mechanism","minor changes, version in PRD(Rapid Communication)","Phys.Rev.D71:111701,2005","10.1103/PhysRevD.71.111701",,"hep-ph hep-ex",,"  In the minimal supersymmetric standard model extended by including
right-handed neutrinos with see-saw mechanism, the neutrino Yukaka couplings
can be as large as the top-quark Yukawa couplings and thus the
neutrino/sneutrino may cause sizable effects in Higgs boson self-energy loops.
Our explicit one-loop calculations show that the neutrino/sneutrino effects may
have an opposite sign to top/stop effects and thus lighten the lightest Higgs
boson. If the soft-breaking mass of the right-handed neutrino is very large (at
the order of Majorana mass scale), such as in the split-SUSY scenario, the
effects can lower the lightest Higgs boson mass by a few tens of GeV. So the
Higgs mass bound of about 150 GeV in split-SUSY may be lowered significantly if
right-handed neutrinos come into play with see-saw mechanism.
","[{""version"":""v1"",""created"":""Tue, 21 Dec 2004 15:57:24 GMT""},{""version"":""v2"",""created"":""Wed, 22 Jun 2005 07:45:49 GMT""}]","2011-07-19"
"hep-th/0412210","Zvi Bern","Zvi Bern, Lance J. Dixon and David A. Kosower","All Next-to-Maximally-Helicity-Violating One-Loop Gluon Amplitudes in
  N=4 Super-Yang-Mills Theory","36 pages, 9 figures, revtex, v2 minor corrections","Phys.Rev.D72:045014,2005","10.1103/PhysRevD.72.045014","SLAC-PUB-10905, UCLA/04/TEP/50, Saclay/SPhT-T04/166","hep-th hep-ph",,"  We compute the next-to-MHV one-loop n-gluon amplitudes in N=4
super-Yang-Mills theory. These amplitudes contain three negative-helicity
gluons and an arbitrary number of positive-helicity gluons, and are the first
infinite series of amplitudes beyond the simplest, MHV, amplitudes. We also
discuss some aspects of their twistor-space structure.
","[{""version"":""v1"",""created"":""Mon, 20 Dec 2004 19:39:43 GMT""},{""version"":""v2"",""created"":""Sat, 16 Jul 2005 21:49:02 GMT""}]","2010-04-06"
"hep-th/0412221","Hong Lu","Z.-W. Chong, H. Lu and C.N. Pope","BPS Geometries and AdS Bubbles","Latex, 11 pages","Phys.Lett.B614:96-103,2005","10.1016/j.physletb.2005.03.050","MIFP-04-26","hep-th",,"  Recently, 1/2-BPS AdS bubble solutions have been obtained by Lin, Lunin and
Maldacena, which correspond to Fermi droplets in phase space in the dual CFT
picture. They can be thought of as generalisations of 1/2-BPS AdS black hole
solutions in five or seven dimensional gauged supergravity. In this paper, we
extend these solutions by invoking additional gauge fields and scalar fields in
the supergravity Lagrangians, thereby obtaining AdS bubble generalisations of
the previously-known multi-charge AdS black solutions of gauged supergravity.
We also obtain analogous AdS bubble solutions in four-dimensional gauged
supergravity. Our solutions generically preserve supersymmetry fractions 1/4,
1/8 and 1/8 in seven, five and four dimensions respectively. They can be lifted
to M-theory or type IIB string theory, using previously known formulae for the
consistent Pauli sphere reductions that yield the gauged supergravities. We
also find similar solutions in six-dimensional gauged supergravity, and discuss
their lift to the massive type IIA theory.
","[{""version"":""v1"",""created"":""Mon, 20 Dec 2004 20:55:27 GMT""}]","2009-10-07"
"hep-th/0412225","Rabindra N. Mohapatra","J.L. Chkareuli, C.D. Froggatt, R.N. Mohapatra and H.B. Nielsen","Photon as a Vector Goldstone Boson: Nonlinear $\sigma $ Model for QED","Four pages, latex, no figures; references added and minor changes in
  the text",,,,"hep-th hep-ph",,"  We show that QED in the Coulomb gauge can be considered as a low energy
linear approximation of a non-linear $\sigma $-type model where the photon
emerges as a vector Goldstone boson related to the spontaneous breakdown of
Lorentz symmetry down to its spatial rotation subgroup at some high scale $M$.
Starting with a general massive vector field theory one naturally arrives at
this model if the pure spin-1 value for the vector field $A_{\mu}(x)$ provided
by the Lorentz condition $\partial_{\mu}A_{\mu}(x)=0$ is required. The model
coincides with conventional QED in the Coulomb gauge in the limit of M going to
infinity and generates a very particular form for the Lorentz and CPT symmetry
breaking terms, which are suppressed by powers of $M$.
","[{""version"":""v1"",""created"":""Mon, 20 Dec 2004 20:03:51 GMT""},{""version"":""v2"",""created"":""Mon, 27 Dec 2004 18:38:19 GMT""},{""version"":""v3"",""created"":""Wed, 19 Jan 2005 16:10:22 GMT""}]","2007-05-23"
"hep-th/0412229","Adolfo Malbouisson","C.D. Fosco, A.P.C. Malbouisson, I. Roditi","Vacuum polarization in $d+{1/2}$ dimensions","11 pages, no figures","Phys.Lett. B609 (2005) 430-436","10.1016/j.physletb.2005.01.049",,"hep-th",,"  We study the main properties of the one-loop vacuum polarization function
($\Pi_{\alpha \beta}$) for spinor $QED$ in `$d + {1/2}$ dimensions', i.e., with
fields defined on ${\mathcal M} \subset {\mathbb R}^{d+1}$ such that ${\mathcal
M} = \{(x_0,...,x_d) | x_{d}\geq 0 \}$, with bag-like boundary conditions on
the boundary $\partial{\mathcal M} = \{(x_0,...,x_d) | x_{d}= 0 \}$. We obtain
an exact expression for the induced current due to an external constant
electric field normal to the boundary. We show that, for the particular case of
2+1 dimensions, there is a transverse component for the induced current, which
is localized on a region close to $\partial{\mathcal M}$. This current is a
parity breaking effect purely due to the boundary.
","[{""version"":""v1"",""created"":""Mon, 20 Dec 2004 16:11:19 GMT""},{""version"":""v2"",""created"":""Wed, 2 Feb 2005 15:21:01 GMT""}]","2009-11-10"
"hep-th/0412230","Karl Landsteiner","Karl Landsteiner","Konishi Anomalies and N=1 Curves","6 pages, contribution to the proceedings of the 37th International
  Symposium Ahrenshoop on the Theory of Elementary Particles; v2: References
  added","Fortsch.Phys. 53 (2005) 494-499","10.1002/prop.200410209","IFT-UAM/CSIC-04-63","hep-th",,"  We present a brief summary of exact results on the non-perturbative effective
superpotential of N=1 supersymmetric gauge theories based on generalized
Konishi anomaly equations. In particular we consider theories with classical
gauge groups and chiral matter in two-index tensor representations. All these
theories can be embedded into theories with unitary gauge group and adjoint
matter. This embedding can be used to derive expressions for the exact
non-perturbative superpotential in terms of the 1/N expansion of the free
energy of the related matrix models.
","[{""version"":""v1"",""created"":""Mon, 20 Dec 2004 16:53:49 GMT""},{""version"":""v2"",""created"":""Thu, 13 Jan 2005 16:13:21 GMT""}]","2015-06-26"
"hep-th/0412231","Hugo Reinhardt","D. Epple, C. Feuchter, H. Reinhardt","The Yang-Mills vacuum in Coulomb gauge","4 pages, 5 figures, Proceedings ``Confinement Conference Sardinia
  2004''",,"10.1063/1.1920963",,"hep-th",,"  The Yang-Mills Schr\""odinger equation is solved in Coulomb gauge for the
vacuum by the variational principle using an ansatz for the wave functional,
which is strongly peaked at the Gribov horizon. We find an infrared suppressed
gluon propagator, an infrared singular ghost propagator and an almost linearly
rising confinement potential. Using these solutions we calculate the electric
field of static color charge distributions relevant for mesons and baryons.
","[{""version"":""v1"",""created"":""Mon, 20 Dec 2004 17:30:36 GMT""}]","2009-11-10"
"hep-th/0412232","Gennadi Sardanashvily","D.Bashkirov and G.Sardanashvily","Space-time BRST symmetries","15 pages",,,,"hep-th math-ph math.MP",,"  Bearing in mind BV quantization of gauge gravitation theory, we extend
general covariant transformations to the BRST ones.
","[{""version"":""v1"",""created"":""Mon, 20 Dec 2004 17:42:33 GMT""}]","2007-05-23"
"hep-th/0412233","Victor Gayral","Victor Gayral","Heat-Kernel Approach to UV/IR Mixing on Isospectral Deformation
  Manifolds","30 pages, no figure, version 2","AnnalesHenriPoincare6:991-1023,2005","10.1007/s00023-005-0232-x","CPT-2004/P.135","hep-th math-ph math.MP",,"  We work out the general features of perturbative field theory on
noncommutative manifolds defined by isospectral deformation. These (in general
curved) `quantum spaces', generalizing Moyal planes and noncommutative tori,
are constructed using Rieffel's theory of deformation quantization for action
of $\R^l$. Our framework, incorporating background field methods and tools of
QFT in curved spaces, allows to deal both with compact and non-compact spaces,
as well as with periodic or not deformations, essentially in the same way. We
compute the quantum effective action up to one loop for a scalar theory,
showing the different UV/IR mixing phenomena for different kinds of isospectral
deformations. The presence and behavior of the non-planar parts of the Green
functions is understood simply in terms of off-diagonal heat kernel
contributions. For periodic deformations, a Diophantine condition on the
noncommutativity parameters is found to play a role in the analytical nature of
the non-planar part of the one-loop reduced effective action. Existence of
fixed points for the action may give rise to a new kind of UV/IR mixing.
","[{""version"":""v1"",""created"":""Mon, 20 Dec 2004 19:15:08 GMT""},{""version"":""v2"",""created"":""Mon, 23 May 2005 12:25:09 GMT""}]","2016-09-06"
"hep-th/0412234","Raffaele Marotta","P. Di Vecchia, A. Liccardo, R. Marotta, F. Pezzella","The Gauge/Gravity Correspondence for Non-Supersymmetric Theories","7 pages, Latex, Talk given at 37. International Symposium Ahrenshoop,
  Berlin, August 2004. Added references and acknowledgements; corrected typos","Fortsch.Phys. 53 (2005) 450-455","10.1002/prop.200510203",,"hep-th",,"  We review the string construction of the ``orientifold field theories'' and
we show that for these theories the gauge/gravity correspondence is only valid
for a large number of colours.
","[{""version"":""v1"",""created"":""Mon, 20 Dec 2004 18:20:10 GMT""},{""version"":""v2"",""created"":""Tue, 4 Jan 2005 14:09:15 GMT""}]","2015-06-26"
"hep-th/0412235","Fernando Ruiz","V. Gayral, J.M. Gracia-Bondia, F. Ruiz Ruiz","Trouble with space-like noncommutative field theory","1+7 pages. v2: two references added","Phys.Lett.B610:141-146,2005","10.1016/j.physletb.2005.02.011","CPT-2004/P.136, UCM-FTI-04/121","hep-th",,"  It is argued that the one-loop effective action for a space-like
noncommutative scalar field theory does not exist. This indicates that such
theories are not renormalizable already at one loop order and suggests
supersymmetrization and reinvestigating other types of noncommutativity.
","[{""version"":""v1"",""created"":""Mon, 20 Dec 2004 18:41:45 GMT""},{""version"":""v2"",""created"":""Thu, 3 Feb 2005 17:52:51 GMT""}]","2008-11-26"
"hep-th/0412236","Torsten Tok","Ch. Korn, H. Reinhardt and T. Tok","Free Energy of thick Center Vortices","23 pages, 5 figures, 4 tables, some refences added",,,"UNITU-THEP-21/2004","hep-th",,"  The free energy of thick center vortices is calculated in continuum
Yang-Mills theory in one-loop approximation using the proper time
regularization. The vortices are represented by Abelian gauge field
configurations on the torus which satisfy twisted boundary conditions.
","[{""version"":""v1"",""created"":""Mon, 20 Dec 2004 18:58:56 GMT""},{""version"":""v2"",""created"":""Fri, 5 Aug 2005 12:37:34 GMT""}]","2007-05-23"
"hep-th/0412237","Claudio Scrucca","Claudio A. Scrucca","Mediation of supersymmetry breaking in extra dimensions","LaTex, 15 pages; brief review prepared for MPLA. v2: minor
  corrections","Mod.Phys.Lett. A20 (2005) 297-312","10.1142/S0217732305016750","NEIP/04-10","hep-th",,"  We review the mechanisms of supersymmetry breaking mediation that occur in
sequestered models, where the visible and the hidden sectors are separated by
an extra dimension and communicate only via gravitational interactions. By
locality, soft breaking terms are forbidden at the classical level and reliably
computable within an effective field theory approach at the quantum level. We
present a self-contained discussion of these radiative gravitational effects
and the resulting pattern of soft masses, and give an overview of realistic
model building based on this set-up. We consider both flat and warped extra
dimensions, as well as the possibility that there be localized kinetic terms
for the gravitational fields.
","[{""version"":""v1"",""created"":""Mon, 20 Dec 2004 19:02:23 GMT""},{""version"":""v2"",""created"":""Wed, 2 Feb 2005 14:13:58 GMT""}]","2016-09-06"
"hep-th/0412238","Nicolas Couchoud","Nicolas Couchoud","D-branes et orientifolds dans des espaces courbes ou dependant du temps","Doctor thesis in French, defended on October 1st, 2004 at Universite
  Pierre et Marie Curie. LaTeX, 112 pages. Appendices not included because they
  are articles already present in hep-th",,,,"hep-th",,"  In this thesis we study string theory with D-branes and possibly orientifolds
in curved or time-dependent spaces. Our study aims at understanding some
aspects of curved and time-dependent spaces, notably because of their
importance in cosmology.
  The first chapter introduces some bases of string theory.
  The second chapter studies non-oriented strings on compact groups SU(2) and
SO(3): after reviewing known results about D-branes in such spaces, we present
our results on the position of orientifolds and their interaction with open and
closed strings.
  The third chapter studies D-branes in certain backgrounds of Ramond-Ramond
type, using S-duality, which links them with backgrounds of Neveu-Schwarz type,
where calculations can be done.
  The last chapter considers strings on a D-brane embedded with a plane wave,
and introduces tools which allow to study interactions in such a background.
","[{""version"":""v1"",""created"":""Mon, 20 Dec 2004 20:58:26 GMT""}]","2007-05-23"
"hep-th/0412239","Konstantin Bobkov","Konstantin Bobkov","Volume Stabilization via $\alpha^\prime$ Corrections in Type IIB Theory
  with Fluxes","20 pages, 4 figures, parts of introduction and conclusions are
  modified","JHEP 0505:010,2005","10.1088/1126-6708/2005/05/010",,"hep-th",,"  We consider the Type IIB string theory in the presence of various extra
$7/\bar 7$-brane pairs compactified on a warped Calabi-Yau threefold that
admits a conifold singularity. We demonstrate that the volume modulus can be
stabilized perturbatively at a non-supersymmetric $AdS_4/dS_4$ vacuum by the
effective potential that includes the stringy $(\alpha^\prime)^3$ correction
obtained by Becker {\it et al.} together with a combination of positive tension
and anomalous negative tension terms generated by the additional
7-brane-antibrane pairs.
","[{""version"":""v1"",""created"":""Mon, 20 Dec 2004 20:20:56 GMT""},{""version"":""v2"",""created"":""Fri, 14 Jan 2005 19:13:09 GMT""},{""version"":""v3"",""created"":""Fri, 21 Jan 2005 21:29:26 GMT""}]","2010-02-03"
"hep-th/0412240","John Ellis","John Ellis, N.E.Mavromatos, D.V.Nanopoulos","Cosmic Acceleration and the String Coupling","16 pages","Phys.Lett.B619:17-25,2005","10.1016/j.physletb.2005.05.047","CERN-PH-TH/2004-264","hep-th astro-ph gr-qc",,"  In the context of a cosmological string model describing the propagation of
strings in a time-dependent Robertson-Walker background space-time, we show
that the asymptotic acceleration of the Universe can be identified with the
square of the string coupling. This allows for a direct measurement of the
ten-dimensional string coupling using cosmological data. We conjecture that
this is a generic feature of a class of non-critical string models that
approach asymptotically a conformal (critical) sigma model whose target space
is a four-dimensional space-time with a dilaton background that is linear in
sigma-model time. The relation between the cosmic acceleration and the string
coupling does not apply in critical strings with constant dilaton fields in
four dimensions.
","[{""version"":""v1"",""created"":""Mon, 20 Dec 2004 19:30:02 GMT""}]","2009-09-11"
"hep-th/0412241","Stefano Bolognesi","Stefano Bolognesi","The Holomorphic Tension of Nonabelian Vortices","12 pages 1 figure. v3: Revised version. v4: Added a note on the
  non-BPS correction. v5: Typos corrected, submitted to NPB","Nucl.Phys.B719:67-76,2005","10.1016/j.nuclphysb.2005.04.030",,"hep-th",,"  We continue the work hep-th/0411075 considering here the case of degenerate
masses. A nonabelian vortex arises in r-vacua upon the breaking by a
superpotential for the adjoint field. We find the BPS tension in the strong
coupling regime computing the dual-quark condensate. Then we find that it is
equal to a simple quantity in the chiral ring of the theory and so we
conjecture the validity of our result out of the strong coupling regime. Our
result gives an interesting hint about the duality r <--> N_f-r, seeing it as
the exchange first <--> second sheet of N=1 Riemann surface.
","[{""version"":""v1"",""created"":""Mon, 20 Dec 2004 19:55:45 GMT""},{""version"":""v2"",""created"":""Tue, 21 Dec 2004 14:30:10 GMT""},{""version"":""v3"",""created"":""Tue, 1 Feb 2005 21:54:49 GMT""},{""version"":""v4"",""created"":""Mon, 7 Mar 2005 21:49:26 GMT""},{""version"":""v5"",""created"":""Wed, 20 Apr 2005 18:02:04 GMT""}]","2010-12-03"
"hep-th/0412243","Sergei Gukov","Sergei Gukov, Albert Schwarz, Cumrun Vafa","Khovanov-Rozansky Homology and Topological Strings","25 pages, 2 figures, harvmac; minor corrections, references added","Lett.Math.Phys. 74 (2005) 53-74","10.1007/s11005-005-0008-8","HUTP-04/A034","hep-th math.GT",,"  We conjecture a relation between the sl(N) knot homology, recently introduced
by Khovanov and Rozansky, and the spectrum of BPS states captured by open
topological strings. This conjecture leads to new regularities among the sl(N)
knot homology groups and suggests that they can be interpreted directly in
topological string theory. We use this approach in various examples to predict
the sl(N) knot homology groups for all values of N. We verify that our
predictions pass some non-trivial checks.
","[{""version"":""v1"",""created"":""Mon, 20 Dec 2004 21:29:58 GMT""},{""version"":""v2"",""created"":""Thu, 3 Feb 2005 17:16:22 GMT""},{""version"":""v3"",""created"":""Thu, 7 Jul 2005 01:13:40 GMT""}]","2009-11-10"
"hep-th/0412244","Joe Polchinski","Joseph Polchinski","Introduction to Cosmic F- and D-Strings","34 pages. Lectures presented at the 2004 Cargese Summer School",,,,"hep-th",,"  In these lectures I discuss the possibility that superstrings of cosmic
length might exist and be observable. I first review the original idea of
cosmic strings arising as gauge theory solitons, and discuss in particular
their network properties and the observational bounds that rule out cosmic
strings as the principal origin of structure in our universe. I then consider
cosmic superstrings, including the `fundamental' F-strings and also D-strings
and strings arising from wrapped branes. I discuss the conditions under which
these will exist and be observable, and ways in which different kinds of string
might be distinguished. We will see that each of these issues is
model-dependent, but that some of the simplest models of inflation in string
theory do lead to cosmic superstrings. Moreover, these could be the first
objects seen in gravitational wave astronomy, and might have distinctive
network properties. The outline of these lectures follows hep-th/0410082, but
the treatment is more detailed and pedagogical.
","[{""version"":""v1"",""created"":""Tue, 21 Dec 2004 00:36:52 GMT""}]","2007-05-23"
"hep-th/0412245","Ergin Sezgin","P.S. Howe and E. Sezgin","The supermembrane revisited","Latex, 46 pages, clarifying remarks and references added","Class.Quant.Grav. 22 (2005) 2167-2200","10.1088/0264-9381/22/11/017",,"hep-th",,"  The M2-brane is studied from the perspective of superembeddings. We review
the derivation of the M2-brane dynamics and the supergravity constraints from
the standard superembedding constraint and we discuss explicitly the induced
d=3, N=8 superconformal geometry on the worldvolume. We show that the gauged
supermembrane, for a target space with a U(1) isometry, is the standard
D2-brane in a type IIA supergravity background. In particular, the D2-brane
action, complete with the Dirac-Born-Infeld term, arises from the gauged
Wess-Zumino worldvolume 4-form via the brane action principle. The discussion
is extended to the massive D2-brane considered as a gauged supermembrane in a
massive D=11 superspace background. Type IIA supergeometry is derived using
Kaluza-Klein techniques in superspace.
","[{""version"":""v1"",""created"":""Tue, 21 Dec 2004 04:09:10 GMT""},{""version"":""v2"",""created"":""Thu, 7 Apr 2005 18:30:31 GMT""}]","2009-11-10"
"hep-th/0412246","Pantelis Apostolopoulos","Pantelis S. Apostolopoulos and Nikolaos Tetradis","Brane cosmological evolution with a general bulk matter configuration","7 pages, no figures, RevTex 4.0; minor corrections, to appear in
  Phys. Rev. D","Phys.Rev. D71 (2005) 043506","10.1103/PhysRevD.71.043506",,"hep-th gr-qc",,"  Using a fully covariant treatment for the description of the bulk geometry,
we study the brane cosmological evolution in the presence of a smooth bulk
matter distribution. We focus on the case of a Friedmann-Robertson-Walker (FRW)
brane, invariantly characterized by the existence of a six-dimensional group of
isometries acting on 3D spacelike orbits. With a FRW brane, the bulk geometry
can be regarded as the 5D generalization of the \emph{inhomogeneous orthogonal
family of Locally Rotationally Symmetric (LRS)} spacetimes. We show that, for
\emph{any bulk matter configuration}, the expansion rate on the brane depends
only on the covariantly defined \emph{comoving mass} $\mathcal{M}$ of the bulk
fluid within a radius equal to the average length scale of the 3D spacelike
hypersurfaces of constant curvature. This unique contribution incorporates the
effects of the 5D Weyl tensor and the projected tensor related to the bulk
matter, and gives a transparent physical picture that includes an effective
conservation equation between the brane and the bulk matter.
","[{""version"":""v1"",""created"":""Tue, 21 Dec 2004 06:51:53 GMT""},{""version"":""v2"",""created"":""Wed, 9 Feb 2005 09:37:54 GMT""}]","2009-11-10"
"hep-th/0412247","Sang-Jin Sin","Sunggeun Lee, Sang-Jin Sin","Closed string tachyon potential and $tt^*$ equation","15 pages, reference added. to appear in PLB","Phys.Lett.B614:113-123,2005","10.1016/j.physletb.2005.03.069",,"hep-th",,"  Recently Dabholkar and Vafa proposed that closed string tachyon potential for
non-supersymmetric orbifold $\C/\Z_3$ in terms of the solution of a $tt^*$
equation. We extend this result to $\C^2/\Z_n$ for $n=3,4,5$. Interestingly,
the tachyon potentials for $n=3$ and 4 are still given in terms of the
solutions of Painleve III type equation that appeared in the study of
$\C^1/\Z_3$ with different boundary conditions. For $\C^2/\Z_5$ case, governing
equations are of generalized Toda type. The potential is monotonically
decreasing function of RG flow.
","[{""version"":""v1"",""created"":""Tue, 21 Dec 2004 07:25:12 GMT""},{""version"":""v2"",""created"":""Tue, 29 Mar 2005 05:40:06 GMT""}]","2010-12-03"
"hep-th/0412248","Pedro Labra\~na","Pedro Labrana (1), Jorge Alfaro (1), Alexander A. Andrianov (2) ((1)
  Universidad Cat\'olica de Chile, (2) St. Petersburg State University and
  INFN, Sezione di Bologna)","Quark-Antiquark Bound States in an Extended QCD_2 Model","4 pages, 2 figures, Latex. References corrected. Talk given at 5th
  Latin American Symposium on High Energy Physics (V-SILAFAE), Lima Peru, July
  12-17, 2004",,,,"hep-th",,"  We study an extended QCD model in 2D obtained from QCD in 4D by compactifying
two spatial dimensions and projecting onto the zero-mode subspace. This system
is found to induce a dynamical mass for transverse gluons -- adjoint scalars in
QCD(2), and to undergo a chiral symmetry breaking with the full quark
propagators yielding non-tachyonic, dynamical quark masses, even in the chiral
limit. We construct the hadronic color singlet bound-state scattering
amplitudes and study quark-antiquark bound states which can be classified in
this model by their properties under Lorentz transformations inherited from 4D.
","[{""version"":""v1"",""created"":""Tue, 21 Dec 2004 08:18:25 GMT""},{""version"":""v2"",""created"":""Mon, 27 Dec 2004 21:22:10 GMT""}]","2007-05-23"
"hep-th/0412250","Dimitrios Tsimpis","D. Lust and D. Tsimpis","Supersymmetric AdS(4) compactifications of IIA supergravity","24 pages, references added","JHEP 0502:027,2005","10.1088/1126-6708/2005/02/027","MPP-2004-173","hep-th",,"  We derive necessary and sufficient conditions for N=1 compactifications of
(massive) IIA supergravity to AdS(4) in the language of SU(3) structures. We
find new solutions characterized by constant dilaton and nonzero fluxes for all
form fields. All fluxes are given in terms of the geometrical data of the
internal compact space. The latter is constrained to belong to a special class
of half-flat manifolds.
","[{""version"":""v1"",""created"":""Tue, 21 Dec 2004 15:21:56 GMT""},{""version"":""v2"",""created"":""Tue, 25 Jan 2005 08:19:42 GMT""}]","2009-10-07"
"hep-th/0412251","Wolfgang Mueck","Wolfgang Mueck","Progress on Holographic Three-Point Functions","talk given at the RTN workshop ""The quantum structure of space-time
  and the geometric nature of fundamental interactions"", Kolymbari, September
  5-10, 2004","Fortsch.Phys.53:948-954,2005","10.1002/prop.200410221",,"hep-th",,"  The recently developed gauge-invariant formalism for the treatment of
fluctuations in holographic renormalization group (RG) flows overcomes most of
the previously encountered technical difficulties. I summarize the formalism
and present its application to the GPPZ flow, where scattering amplitudes
between glueball states have been calculated and a set of selection rules been
found.
","[{""version"":""v1"",""created"":""Tue, 21 Dec 2004 09:57:52 GMT""}]","2008-11-26"
