"astro-ph/0409159","Daniele Fargion","M. Iori, A. Sergi and D. Fargion","Test results of a prototype designed to detect horizontal cosmic ray
  flux","12 pages, 13 figures",,,,"astro-ph hep-ph",,"  In this paper we report test results from a prototype designed to detect
muons from horizontal air shower at large zenith angle,
  $86^{0}<\Theta<93^{0}$. To detect horizontal tracks and their directions we
select them according the muon vertical equivalent charge and we measure the
time of flight with a time resolution of 800 ps. Several measurements are
collected at different zenith angles. The background studies performed with two
modules show that the main source is due to tracks crossing the module at the
same time. The upper limit of background flux for a single twin module is
estimated to be $10^{-9} cm^{-2}$ $s^{-1}$ $sr^{-1} (90%CL)$. We estimated the
size of the surface array necessary to detect the shower flux of the order of
$10^{-9} cm^{-2}$ $yr^{-1}$ $sr^{-1}$ if originated by Tau Air-Showers
secondaries of GZK neutrino Tau below the horizons.
","[{""version"":""v1"",""created"":""Tue, 7 Sep 2004 16:02:06 GMT""},{""version"":""v2"",""created"":""Tue, 5 Oct 2004 07:56:25 GMT""}]","2016-08-30"
"astro-ph/0409194","Petrucci","P. O. Petrucci, J. Ferreira, S. Tricot, G. Pelletier, C. Cabanac, G.
  Henri (SHERPAS team, LAOG, Grenoble, France)","Applying Magnetized Accretion-Ejection Models to Microquasars: a
  preliminary step","Proceeding of the fith Microquasar Workshop, June 7 - 13, 2004,
  Beijing, China. Accepted for publication in the Chinese Journal of Astronomy
  and Astrophysics",,,,"astro-ph",,"  We present in this proceeding some aspects of a model that should explain the
spectral state changes observed in microquasars. In this model, ejection is
assumed to take place only in the innermost disc region where a large scale
magnetic field is anchored. Then, in opposite to conventional ADAF models, the
accretion energy can be efficiently converted in ejection and not advected
inside the horizon. We propose that changes of the disc physical state (e.g.
transition from optically thick to optically thin states) can strongly modify
the magnetic accretion-ejection structure resulting in the spectral
variability. After a short description of our scenario, we give some details
concerning the dynamically self-consistent magnetized accretion-ejection model
used in our computation. We also present some preliminary results of spectral
energy distribution.
","[{""version"":""v1"",""created"":""Wed, 8 Sep 2004 15:23:28 GMT""}]","2007-05-23"
"astro-ph/0409195","Stephen Zepf","Stephen E. Zepf (Michigan State University)","Wide-Field Imaging from Space of Early-Type Galaxies and Their Globular
  Clusters","To appear in the conference proceedings of ""Wide Field Imaging from
  Space"" published in New Astronomy Reviews, eds. T. McKay, A. Fruchter, & E.
  Linder","New Astron.Rev. 49 (2005) 413-416","10.1016/j.newar.2005.08.014",,"astro-ph",,"  Wide-field imaging from space will reveal a wealth of information about the
globular cluster systems of any galaxies in the local universe that are
observed by such a mission. Individual globular clusters around galaxies in the
local universe have compact sizes that are ideal for the excellent spatial
resolution afforded by space-based imaging, while systems of these globular
clusters have large spatial extent that can only be fully explored by
wide-field imaging. One example of the science return from such a study is the
determination of the major formation epoch(s) of galaxies from the ages of
their globular clusters determined via their optical to near-infrared colors. A
second example is determining the sites of metal-poor globular cluster
formation from their cosmological bias, which constrains the formation of
structures early in the universe.
","[{""version"":""v1"",""created"":""Wed, 8 Sep 2004 15:41:20 GMT""}]","2009-11-10"
"cond-mat/0409141","Liliana Arrachea","Liliana Arrachea and Drazen Zanchi","U-J Synergy Effect for the High Tc Superconductors","Final version, to appear in PRB",,"10.1103/PhysRevB.71.064519",,"cond-mat.supr-con cond-mat.str-el",,"  Using renormalization group and exact diagonalization of small clusters we
investigate the ground state phase diagram of a two-dimensional extended
Hubbard model with nearest-neighbor exchange interaction J, in addition to the
local Coulomb repulsion U. The main instabilities are antiferromagnetism close
to half-filling and d-wave superconductivity in the doped system. Our results
suggest that the combined action of J and U interactions provide a remarkably
efficient mechanism to enhance both d-wave superconducting and
antiferromagnetic correlations.
","[{""version"":""v1"",""created"":""Tue, 7 Sep 2004 17:07:28 GMT""},{""version"":""v2"",""created"":""Wed, 22 Dec 2004 16:58:58 GMT""}]","2009-11-10"
"cond-mat/0409149","Jens Harting","Jens Harting, Matthew J.Harvey, Jonathan Chin and Peter V. Coveney","Detection and tracking of defects in the gyroid mesophase","20 pages, accepted for publication in Computer Physics
  Communications. Please contact the authors for higher quality figures","Computer Physics Communications 165, 97-109 (2004)","10.1016/j.cpc.2004.10.001",,"cond-mat.soft cond-mat.other",,"  Certain systems, such as amphiphile solutions or diblock copolymer melts, may
assemble into structures called ``mesophases'', with properties intermediate
between those of a solid and a liquid. These mesophases can be of very regular
structure, but may contain defects and grain boundaries. Different
visualization techniques such as volume rendering or isosurfacing of fluid
density distributions allow the human eye to detect and track defects in liquid
crystals because humans are easily capable of finding imperfections in
repetitive spatial structures. However, manual data analysis becomes too time
consuming and algorithmic approaches are needed when there are large amounts of
data. We present and compare two different approaches we have developed to
study defects in gyroid mesophases of amphiphilic ternary fluids. While the
first method is based on a pattern recognition algorithm, the second uses the
particular structural properties of gyroid mesophases to detect defects.
","[{""version"":""v1"",""created"":""Tue, 7 Sep 2004 16:43:39 GMT""}]","2007-05-23"
"cond-mat/0409168","Richard A. Klemm","Dmitri V. Efremov and Richard A. Klemm","Local spin anisotropy effects upon the magnetization and specific heat
  of dimer single molecule magnets","22 pages, 26 figures, submitted to PRR","Phys. Rev. B {\bf 74} (6), 064408 (2006).",,,"cond-mat.mes-hall cond-mat.stat-mech",,"  We present an exactly solvable model of equal spin $s_1$ dimer single
molecule magnets. The spins within each dimer interact via the Heisenberg and
the most general quadratic global and local (single-ion) anisotropic spin
interactions, and with the magnetic induction ${\bf B}$. For antiferromagnetic
couplings and $s_1>1/2$, the low temperature $T$ magnetization ${\bm M}({\bm
B})$ exhibits $2s_1$ steps of universal height and midpoint slope, the $s$th
step of which occurs at the non-universal level-crossing magnetic induction
$B_{s,s_1}^{\rm lc}(\theta,\phi)$, where $\theta,\phi$ define the direction of
${\bm B}$. The specific heat $C_V$ exhibits zeroes as $T\to0$ at these
$B_{s,s_1}^{\rm lc}(\theta,\phi)$ values, which are equally surrounded by
universal peak pairs as $T\to0$. The non-universal $B_{s,s_1}^{\rm
lc}(\theta,\phi)$ values lead to a rich variety of magnetization plateau
behavior, the structure and anisotropy of which depend upon the various global
and local anisotropic spin interaction energies. We solve the model exactly for
$s_1=1/2$, 1, and 5/2, and present ${\bm M}({\bm B})$ and $C_V({\bm B})$ curves
at low $T$ for these cases. For weakly anisotropic dimers, rather simple
analytic formulas for ${\bm M}({\bm B})$ and $C_V({\bm B})$ at arbitrary $s_1$
accurately fit the exact solutions at sufficiently low $T$ or large $B$. An
expression for $B_{s,s_1}^{\rm lc}(\theta,\phi)$ accurate to second order in
the four independent anisotropy energies is derived. Our results are discussed
with regard to existing experiments on $s_1=5/2$ Fe$_2$ dimers, suggesting
further experiments on single crystals of these and some $s_1=9/2$ Mn$_4$]$_2$
dimers are warranted.
","[{""version"":""v1"",""created"":""Tue, 7 Sep 2004 16:15:51 GMT""},{""version"":""v2"",""created"":""Wed, 8 Sep 2004 00:58:48 GMT""},{""version"":""v3"",""created"":""Tue, 26 Apr 2005 13:42:25 GMT""},{""version"":""v4"",""created"":""Mon, 12 Sep 2005 22:54:27 GMT""}]","2007-05-23"
"cond-mat/0409169","Jorge L. Gavilano","K. Magishi, J.L. Gavilano, B. Pedrini, J. Hinderer, M. Weller, H.R.
  Ott, S.M. Kazakov, and J. Karpinski","Evidence for s-wave superconductivity in the new beta-pyrochlore oxide
  RbOs2O6","5 pages, 5 figures, submitted to Phys. Rev. B",,"10.1103/PhysRevB.71.024524",,"cond-mat.supr-con cond-mat.mtrl-sci",,"  We report the results of 87Rb NMR measurements on RbOs2O6, a new member of
the family of the superconducting pyrochlore-type oxides with a critical
temperature Tc = 6.4 K. In the normal state, the nuclear spin-lattice
relaxation time T1 obeys the Korringa-type relation T1T = constant and the
Knight shift is independent of temperature, indicating the absence of strong
magnetic correlations. In the superconducting state, T1^{-1}(T) exhibits a tiny
coherence enhancement just below Tc, and decreases exponentially with further
decreasing temperatures. The value of the corresponding energy gap is close to
that predicted by the conventional weak-coupling BCS theory. Our results
indicate that RbOs2O6 is a conventional s-wave-type superconductor.
","[{""version"":""v1"",""created"":""Tue, 7 Sep 2004 17:56:12 GMT""}]","2009-11-10"
"cond-mat/0409170","Kar\'en Balabanyan G.","Kar\'en G. Balabanyan, Nikolay Prokof'ev, Boris Svistunov","Superfluid--Insulator Transition in Commensurate One-Dimensional Bosonic
  System with Off-Diagonal Disorder","4 pages, 4 figures. Typo in figure 4 of ver. 3 is corrected","Phys. Rev. Lett. 95, 055701 (2005)","10.1103/PhysRevLett.95.055701",,"cond-mat.mes-hall cond-mat.dis-nn",,"  We study the nature of the superfluid--insulator quantum phase transition in
a one-dimensional system of lattice bosons with off-diagonal disorder in the
limit of large integer filling factor. Monte Carlo simulations of two strongly
disordered models show that the universality class of the transition in
question is the same as that of the superfluid--Mott-insulator transition in a
pure system. This result can be explained by disorder self-averaging in the
superfluid phase and applicability of the standard quantum hydrodynamic action.
We also formulate the necessary conditions which should be satisfied by the
stong-randomness universality class, if one exists.
","[{""version"":""v1"",""created"":""Tue, 7 Sep 2004 19:19:53 GMT""},{""version"":""v2"",""created"":""Tue, 7 Sep 2004 23:00:38 GMT""},{""version"":""v3"",""created"":""Tue, 21 Sep 2004 23:41:12 GMT""},{""version"":""v4"",""created"":""Mon, 2 May 2005 23:59:22 GMT""},{""version"":""v5"",""created"":""Wed, 4 May 2005 20:31:31 GMT""}]","2009-11-10"
"cond-mat/0409171","Maxim Dzero","Maxim Dzero, Joerg Schmalian","Superconductivity in charge Kondo systems","4 pages, 4 figures; revised version; detailed discussion on the
  physics of Tl-doped PbTe added","Phys Rev. Lett. 94, 157003 (2005)","10.1103/PhysRevLett.94.157003",,"cond-mat.str-el cond-mat.supr-con",,"  We present a theory of superconductivity in charge Kondo systems, materials
with resonant quantum valence fluctuations, in the regime where the transition
temperature is comparable to the charge Kondo resonance. We find
superconductivity induced by charge Kondo impurities, study how pairing of a
superconducting host is enhanced due to charge Kondo centers and investigate
the interplay between Kondo-scattering and inter-impurity Josephson coupling.
We discuss the implications of our theory for Tl-doped PbTe, which has recently
been identified as a candidate charge Kondo system.
","[{""version"":""v1"",""created"":""Tue, 7 Sep 2004 19:38:39 GMT""},{""version"":""v2"",""created"":""Wed, 8 Sep 2004 03:40:59 GMT""},{""version"":""v3"",""created"":""Fri, 10 Dec 2004 00:15:28 GMT""}]","2013-07-10"
"cond-mat/0409173","Ian Affleck","Ian Affleck","Non-Fermi liquid behavior in Kondo models","A brief review submitted to the special issue of J. Phys. Soc. of
  Japan, ""Kondo effect -- 40 years after the discovery""",,"10.1143/JPSJ.74.59",,"cond-mat.str-el cond-mat.mes-hall",,"  Despite the fact that the low energy behavior of the basic Kondo model cannot
be studied perturbatively it was eventually shown by Wilson, Anderson, Nozieres
and others to have a simple ""local Fermi liquid theory"" description. That is,
electronic degrees of freedom become effectively non-interacting in the zero
energy limit. However, generalized versions of the Kondo model involving more
than one channel or impurity may exhibit low energy behavior of a less trivial
sort which can, nonetheless, be solved exactly using either Bethe ansatz or
conformal field theory and bosonization techniques. Now the low energy limit
exhibits interacting many body behavior. For example, processes in which a
single electron scatters off the impurity into a multi electron-hole state have
a non-vanishing (and sometimes large) amplitude at zero energy. This
corresponds to a rare solveable example of non-Fermi liquid behavior. Essential
features of these phenomena are reviewed.
","[{""version"":""v1"",""created"":""Tue, 7 Sep 2004 22:07:31 GMT""}]","2009-11-10"
"cond-mat/0409175","Ariel Caticha","Ariel Caticha","Questions, relevance and relative entropy","Presented at MaxEnt 2004, the 24th International Workshop on Bayesian
  Inference and Maximum Entropy Methods (July 25-30, 2004, Garching bei
  Munchen, Germany)","p. 429 in ""Bayesian Inference and Maximum Entropy Methods in
  Science and Engineering"" ed. by R. Fischer et al. (A.I.P. Vol. 735, 2004)","10.1063/1.1835241",,"cond-mat.stat-mech",,"  What is a question? According to Cox a question can be identified with the
set of assertions that constitute possible answers. In this paper we propose a
different approach that combines the notion that questions are requests for
information with the notion that probability distributions represent
uncertainties resulting from lack of information. This suggests that to each
probability distribution one can naturally associate that particular question
which requests the information that is missing and vice-versa. We propose to
represent questions q by probability distributions Next we consider how
questions relate to each other: to what extent is finding the answer to one
question relevant to answering another? A natural measure of relevance is
derived by requiring that it satisfy three desirable features (three axioms).
We find that the relevance of a question q to another question Q turns out to
be the relative entropy S[q,Q] of the corresponding distributions. An
application to statistical physics is briefly considered.
","[{""version"":""v1"",""created"":""Wed, 8 Sep 2004 00:17:32 GMT""}]","2009-11-10"
"cond-mat/0409176","Dale Prokopovich","D. Alexiev, D. A. Prokopovich, L. Mo","Minority Carrier Diffusion Lengths for High Purity Liquid Phase
  Epitaxial GaAs","Replaced due to old version incorrectly placed on the ArXiv",,,,"cond-mat.mtrl-sci",,"  The diffusion length of minority carriers L p,n is an important
characterisation parameter in semiconductor materials and is of particular
interest when constructing devices such as solar cells (Hovel 1975), double
hetero junction lasers (Casey and Panish 1978) and bipolar transistors. Their
efficiency depends primarily on the ability of minority carriers to diffuse
through neutral material to a p-n junction or Schottky barrier where they
recombine with majority carriers. For this reason diffusion lengths have been
measured in a variety of semiconductor materials. The GaAs material was grown
by liquid phase epitaxy (LPE) at the Australian Nuclear Science and Technology
Organisation. The diffusion lengths measured for high purity ptype and n-type
LPE-GaAs samples were observed to be longer than any previously reported.
Measurements of minority carrier diffusion lengths for p-type and n-type GaAs
were carried out using an electron beam induced current (EBIC) technique.
","[{""version"":""v1"",""created"":""Wed, 8 Sep 2004 01:52:13 GMT""},{""version"":""v2"",""created"":""Fri, 29 Oct 2004 01:22:26 GMT""},{""version"":""v3"",""created"":""Mon, 1 Nov 2004 04:50:45 GMT""}]","2007-05-23"
"cond-mat/0409177","Mikito Koshino","M. Koshino and H. Aoki","Electronic structure of an electron on the gyroid surface, a helical
  labyrinth","RevTeX, 4 pages, 6 figures",,"10.1103/PhysRevB.71.073405",,"cond-mat.other",,"  Previously reported formulation for electrons on curved periodic surfaces is
used to analyze the band structure of an electron bound on the gyroid surface
(the only triply-periodic minimal surface that has screw axes). We find that an
effect of the helical structure appears as the bands multiply sticking together
on the Brillouin zone boundaries. We elaborate how the band sticking is lifted
when the helical and inversion symmetries of the structure are degraded. We
find from this that the symmetries give rise to prominent peaks in the density
of states.
","[{""version"":""v1"",""created"":""Wed, 8 Sep 2004 02:03:57 GMT""},{""version"":""v2"",""created"":""Wed, 5 Jan 2005 09:17:20 GMT""}]","2009-11-10"
"cond-mat/0409178","Kazutaka Kudo","K. Kudo, T. Noji, Y. Koike, T. Nishizaki, N. Kobayashi","Multi-Triplet Magnons in SrCu$_2$(BO$_3$)$_2$ Studied by Thermal
  Conductivity Measurements in Magnetic Fields","7 pages, 2 figures","Journal of the Physical Society of Japan Vol. 73, No. 12, p. 3497
  (2004)","10.1143/JPSJ.73.3497",,"cond-mat.str-el cond-mat.supr-con",,"  We have measured the thermal conductivity parallel to the a-axis of the
Zn-free and 1% Zn-substituted SrCu$_{2-x}$Zn$_x$(BO$_3$)$_2$ in magnetic fields
up to 14 T, in order to examine the thermal conductivity due to the
multi-triplet magnons. It has been found that the thermal conductivity peak
observed in the spin gap state is suppressed by the substitution of Zn for Cu
in high magnetic fields above 6 T, while it is not changed in low magnetic
fields below 6 T. The results suggest that the thermal conductivity peak in the
spin-gap state of SrCu$_2$(BO$_3$)$_2$ is composed of not only thermal
conductivity due to phonons but also that due to the multi-triplet magnons in
high fields above 6 T.
","[{""version"":""v1"",""created"":""Wed, 8 Sep 2004 12:08:27 GMT""},{""version"":""v2"",""created"":""Thu, 16 Dec 2004 11:36:18 GMT""}]","2007-05-23"
"cond-mat/0409179","Andrei Leonidov","I.M. Dremin, A.V. Leonidov","On distribution of number of trades in different time windows in the
  stock market","LaTeX, 6 figures","PhysicaA353:388-402,2005","10.1016/j.physa.2004.12.048","FIAN/TD-09/04, ITEP-TH-35/04","cond-mat.other hep-ph q-fin.ST",,"  Properties of distributions of the number of trades in different intraday
time intervals for five stocks traded in MICEX are studied. The dependence of
the mean number of trades on the capital turnover is analyzed. Correlation
analysis using factorial and $H_q$ moments demonstrates the multifractal nature
of these distributions as well as some peculiar changes in the correlation
pattern. Guided by the analogy with the analysis of particle multiplicity
distributions in multiparticle production at high energies, an evolution
equation relating changes in capital turnover and a number of trades is
proposed. We argue that such equation can describe the observed features of the
distribution of the number of trades in the stock market.
","[{""version"":""v1"",""created"":""Wed, 8 Sep 2004 07:59:22 GMT""},{""version"":""v2"",""created"":""Wed, 27 Oct 2004 10:03:48 GMT""}]","2008-12-18"
"cond-mat/0409180","Fang Wei","Xiufeng Cao, Yaoming Shi, Xiaolong Song, Shiping Zhou, Hao Chen","Spin-dependent Andreev reflection tunneling through a quantum dot with
  intradot spin-flip scattering","14 pages, 4 figures",,"10.1103/PhysRevB.70.235341",,"cond-mat.mes-hall",,"  We study Andreev reflection (AR) tunneling through a quantum dot (QD)
connected to a ferromagnet and a superconductor, in which the intradot
spin-flip interaction is included. By using the nonequibrium-Green-function
method, the formula of the linear AR conductance is derived at zero
temperature. It is found that competition between the intradot spin-flip
scattering and the tunneling coupling to the leads dominantes resonant
behaviours of the AR conductance versus the gate voltage.A weak spin-flip
scattering leads to a single peak resonance.However, with the spin-flip
scattering strength increasing, the AR conductance will develop into a double
peak resonannce implying a novel structure in the tunneling spectrum of the AR
conductance. Besides, the effect of the spin-dependent tunneling couplings, the
matching of Fermi velocity, and the spin polarization of the ferromagnet on the
AR conductance is eximined in detail.
","[{""version"":""v1"",""created"":""Wed, 8 Sep 2004 08:15:00 GMT""}]","2009-11-10"
"cond-mat/0409182","W. Prellier","P. Murugavel, D. Saurel, W. Prellier, Ch. Simon, and B. Raveau","Tailoring of ferromagnetic Pr0.85Ca0.15MnO3/ferroelectric Ba0.6Sr0.4TiO3
  superlattices for multiferroic properties","To be published in App. Phys. Lett","Appl. Phys. Lett. 85 (2004) 4424","10.1063/1.1811800",,"cond-mat.mtrl-sci cond-mat.str-el",,"  Superlattices composed of ferromagnetic Pr0.85Ca0.15MnO3 and ferroelectric
Ba0.6Sr0.4TiO3 layers were fabricated on (100) SrTiO3 substrates by a
pulsed-laser deposition method. The capacitance and resistive parts of the
samples were analyzed from the complex impedance measurements, performed on the
samples using a special experimental set-up. The superlattice with larger
ferroelectric thickness shows unique characteristics which are not present in
the parent ferromagnetic thin film. The superlattice show both ferromagnetic
and ferroelectric transitions which is an evidence for the coexistence of both
the properties. The high magnetoresistance (40 % at 80K) shown by the
superlattice can be attributed to the coupling between ferromagnetic and
ferroelectric layers, i.e, to the magnetoelectric effect.
","[{""version"":""v1"",""created"":""Wed, 8 Sep 2004 09:24:36 GMT""}]","2009-11-10"
"cond-mat/0409183","Enis Tuncer","Enis Tuncer and Sidney B. Lang","Numerical Extraction of Distributions of Space-charge and Polarization
  from Laser Intensity Modulation Method","3 pages 2 figures","Appl. Phys. Lett. 86, 071107 (2005)","10.1063/1.1865333",,"cond-mat.other",,"  The Fredholm integral equation of the laser intensity modulation method is
solved with the application of the Monte Carlo technique and a least-squares
solver. The numerical procedure is tested on simulated data.
","[{""version"":""v1"",""created"":""Wed, 8 Sep 2004 09:40:17 GMT""}]","2007-05-23"
"cond-mat/0409184","Shingo Yonezawa","Shingo Yonezawa and Yoshiteru Maeno","Non-linear Temperature Dependence of Resistivity in Single Crystalline
  Ag$_5$Pb$_2$O$_6$","5 pages, 5 figures; accepted for publication in Physcal Review B;
  Revised version: small correction in the caption of Fig.2","Phys. Rev. B 70, 184523 (2004)","10.1103/PhysRevB.70.184523",,"cond-mat.supr-con cond-mat.str-el",,"  We measured electrical resistivity, specific heat and magnetic susceptibility
of single crystals of highly conductive oxide Ag_5Pb_2O_6, which has a layered
structure containing a Kagome lattice. Both the out-of-plane and in-plane
resistivity show T^2 dependence in an unusually wide range of temperatures up
to room temperature. This behavior cannot be accounted for either by electron
correlation or by electron-phonon scattering with high frequency optic phonons.
In addition, a phase transition with a large diamagnetic signal was found in
the ac susceptibility, which strongly suggests the existence of a
superconducting phase below 48 mK.
","[{""version"":""v1"",""created"":""Wed, 8 Sep 2004 09:45:21 GMT""},{""version"":""v2"",""created"":""Mon, 1 Nov 2004 16:49:25 GMT""}]","2009-11-10"
"cond-mat/0409185","Emil Lundh","Emil Lundh, Mats Wallin (KTH, Sweden)","Ratchet effect for cold atoms in an optical lattice","4 pages, 3 figures",,"10.1103/PhysRevLett.94.110603",,"cond-mat.other",,"  The realization of a directed current for a quantum particle in a flashing
asymmetric potential is studied. It is found that a positive current, i.e. in
the direction expected for a conventional diffusive ratchet, can be attained at
short times in the limit where the potential is weak and quantum diffusion
dominates, while current reversal is obtained for stronger potentials. A single
parameter, the ratio between the kicking frequency and the optical lattice
potential strength, determines both the degree to which quantum effects
dominate, and the possibility of obtaining a ratchet current. The effect should
be readily observable in experiments.
","[{""version"":""v1"",""created"":""Wed, 8 Sep 2004 13:52:30 GMT""}]","2009-11-10"
"cond-mat/0409187","R. Chitra","R. Chitra and T. Giamarchi","Zero field Wigner crystal","14 pages, 4 figures",,"10.1140/epjb/e2005-00145-0",,"cond-mat.str-el",,"  A candidate for the insulating phase of the 2D electron gas, seen in high
mobility 2D MOSFETS and heterojunctions, is a Wigner crystal pinned by the
incipient disorder. With this in view, we study the effect of collective
pinning on the physical properties of the crystal formed in zero external
magnetic field. We use an elastic theory to describe to long wavelength modes
of the crystal. The disorder is treated using the standard Gaussian variational
method. We calculate various physical properties of the system with particular
emphasis on their density dependence. We revisit the problem of compressibility
in this system and present results for the compressibility obtained via
effective capacitance measurements in experiments using bilayers. We present
results for the dynamical conductivity, surface acoustic wave anomalies and the
power radiated by the crystal through phonon emission at finite temperatures.
","[{""version"":""v1"",""created"":""Wed, 8 Sep 2004 10:10:07 GMT""}]","2009-11-10"
"cond-mat/0409188","Alberto Orlandi","Alberto Orlandi, Alberto Parola and Luciano Reatto","A microscopic approach to critical phenomena at interfaces: an
  application to complete wetting in the Ising model","To be published in Phy. Rev. E",,"10.1103/PhysRevE.70.051611",,"cond-mat.stat-mech",,"  We study how the formalism of the Hierarchical Reference Theory (HRT) can be
extended to inhomogeneous systems. HRT is a liquid state theory which
implements the basic ideas of Wilson momentum shell renormalization group (RG)
to microscopic Hamiltonians. In the case of homogeneous systems, HRT provides
accurate results even in the critical region, where it reproduces scaling and
non-classical critical exponents. We applied the HRT to study wetting critical
phenomena in a planar geometry. Our formalism avoids the explicit definition of
effective surface Hamiltonians but leads, close to the wetting transition, to
the same renormalization group equation already studied by RG techiques.
However, HRT also provides information on the non universal quantities because
it does not require any preliminary coarse graining procedure. A simple
approximation to the infinite HRT set of equations is discussed. The HRT
evolution equation for the surface free energy is numerically integrated in a
semi-infinite three-dimensional Ising model and the complete wetting phase
transition is analyzed. A renormalization of the adsorption critical amplitude
and of the wetting parameter is observed. Our results are compared to available
Monte Carlo simulations.
","[{""version"":""v1"",""created"":""Wed, 8 Sep 2004 11:06:05 GMT""}]","2009-11-10"
"cond-mat/0409189","Santanu Maiti Kumar","Santanu K. Maiti, J. Chowdhury, and S. N. Karmakar","Persistent currents with long-range hopping in 1D
  single-isolated-diffusive rings","4 pages, 3 figures","Synthetic Metals, Volume 155, Issue 2, 15 November 2005, Pages
  430-433","10.1016/j.synthmet.2005.09.030",,"cond-mat.mes-hall cond-mat.str-el",,"  We show from exact calculations that a simple tight-binding Hamiltonian with
diagonal disorder and long-range hopping integrals, falling off as a power
$\mu$ of the inter-site separation, correctly describes the experimentally
observed amplitude (close to the value of an ordered ring) and flux-periodicity
($hc/e$) of persistent currents in single-isolated-diffusive normal metal rings
of mesoscopic size. Long-range hopping integrals tend to delocalize the
electrons even in the presence of disorder resulting orders of magnitude
enhancement of persistent current relative to earliar predictions.
","[{""version"":""v1"",""created"":""Wed, 8 Sep 2004 11:52:12 GMT""},{""version"":""v2"",""created"":""Thu, 9 Sep 2004 04:59:49 GMT""},{""version"":""v3"",""created"":""Sun, 5 Feb 2006 06:31:00 GMT""}]","2007-05-23"
"cond-mat/0409190","Hiroyuki Tsujii","H. Tsujii, Z. Honda, B. Andraka, K. Katsumata, Y. Takano","High-field phase diagram of the Haldane-gap antiferromagnet $Ni (C_5
  H_{14} N_2)_2 N_3 (PF_6)$","6 pages, 6 figures","Phys. Rev. B 71, 014426 (2005)","10.1103/PhysRevB.71.014426",,"cond-mat.str-el",,"  We have determined the magnetic phase diagram of the quasi-one-dimensional
$S=$ 1 Heisenberg antiferromagnet $Ni (C_5 H_{14} N_2)_2 N_3 (PF_6)$ by
specific heat measurements to 150 mK in temperature and 32 T in magnetic field.
When field is applied along the spin-chain direction, a new phase appears at
$H_{c2}\approx 14$ T. For the previously known phases of field-induced order,
accurate determination is made of the power-law exponents of the ordering
temperature near the zero-temperature critical field $H_c$, owing to the
four-fold improvement of the minimum temperature over the previous work. The
results are compared with the predictions based on the Bose-Einstein
condensation of triplet excitations. Substituting deuterium for hydrogen is
found to slightly reduce the interchain exchange.
","[{""version"":""v1"",""created"":""Wed, 8 Sep 2004 11:55:41 GMT""},{""version"":""v2"",""created"":""Wed, 22 Sep 2004 14:46:43 GMT""},{""version"":""v3"",""created"":""Fri, 4 Nov 2005 04:19:17 GMT""}]","2009-11-10"
"cond-mat/0409191","Pi-Gang Luan","Pi-Gang Luan and Tzong-Jer Yang","Unified treatment for classical waves in two-dimensional media","9 pages, no figure. Submitted to Phys. Rev. E",,,,"cond-mat.mtrl-sci",,"  A unified treatment for the propagation of classical waves in inhhomogeneous
media is proposed. We deal with four kinds of waves, they are the acoustic wave
in fluid, the elastic shear wave in two diemnsional solid, and the E- and
H-polarized electromagnetic waves in two diemnsional lossless medium. We first
show that a universal wave equation governing the wave motion of all these four
kinds of waves can be derived. We then introduce an auxiliary field, and give
the universal expressions for the energy densities and energy flows of these
waves. This unified treatment provides intuitive insights, which may be helpful
in understanding the essential physics of various wave phenomena, or useful for
designing new photonic and sonic devices.
","[{""version"":""v1"",""created"":""Wed, 8 Sep 2004 12:07:13 GMT""}]","2007-05-23"
"cond-mat/0409192","Krzysztof Goral","Jan Chwedenczuk, Krzysztof Goral, Thorsten Koehler, Paul S. Julienne","Molecular production in two-component atomic Fermi gases","4 pages, 3 eps figures; final version","Phys. Rev. Lett. 93, 260403 (2004)","10.1103/PhysRevLett.93.260403",,"cond-mat.other physics.atom-ph",,"  We provide a practical approach to the molecular production via linear
downward sweeps of Feshbach resonances in degenerate Fermi gases containing
incoherent mixtures of two atomic spin states. We show that the efficiency of
the association of atoms is determined just by the Landau-Zener parameter in
addition to the density of the gas. Our approach of pairwise summation of the
microscopic binary transition probabilities leads to an intuitive explanation
for the observed saturation of the molecular production and recovers all atomic
loss curves of C.A. Regal et al. [Nature (London) 427, 47 (2003)] as well as
K.E. Strecker et al. [Phys. Rev. Lett. 91, 080406 (2003)] without adjustable
parameters.
","[{""version"":""v1"",""created"":""Wed, 8 Sep 2004 14:03:23 GMT""},{""version"":""v2"",""created"":""Tue, 7 Dec 2004 12:04:51 GMT""}]","2007-05-23"
"cond-mat/0409193","Charles Radin","Charles Radin and Lorenzo Sadun","The structure of the hard sphere solid","For related papers see:
  http://www.ma.utexas.edu/users/radin/papers.html",,"10.1103/PhysRevLett.94.015502",,"cond-mat.stat-mech",,"  We show that near densest-packing the perturbations of the HCP structure
yield higher entropy than perturbations of any other densest packing. The
difference between the various structures shows up in the correlations between
motions of nearest neighbors. In the HCP structure random motion of each sphere
impinges slightly less on the motion of its nearest neighbors than in the other
structures.
","[{""version"":""v1"",""created"":""Wed, 8 Sep 2004 14:19:36 GMT""}]","2009-11-10"
